id,label,url,brand,name,price,skin type,concern,image url
0,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-perfect-radiance-skin-lightening-day-creme-15g/4384871/buy,lakme,absolute perfect radiance skin lightening day creme 15g,₹ 79,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/4384871/2024/2/12/c3658704-db53-42c4-8896-130e067015f51707729601990-Lakme-Absolute-Perfect-Radiance-Skin-Brightening-Day-Creme-1-2.jpg"
1,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-moisturizer-190ml/1661465/buy,biotique,bio morning nectar flawless sustainable skin moisturizer 190ml,₹ 165,all,"uneven skin tone,hydration,dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661465/2023/12/11/396f2803-0ea4-4eca-a40e-639f1f88b2231702294096218BiotiqueBioMorningNectarFlawlessSustainableSkinMoisturizer191.jpg"
2,face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-unisex-aloe-hydration-skin-cream-100-ml/8529167/buy,nivea,unisex aloe hydration skin cream 100 ml,₹ 92,all,"dull skin,dryness,general care","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8529167/2022/1/27/ed0a6477-d2e2-41cd-97d2-68fce94b5cbe1643280060044NiveaUnisexAloeHydrationSkinCream100ml1.jpg"
3,face-moisturisers,https://www.myntra.com/face-moisturisers/vi-john/vi-john-women-set-of-5-saffron-fairness-cream-advanced/15390390/buy,vi-john,women set of 5 saffron fairness cream advanced,₹ 187,all,"softening,smoothening,softening,smoothening,sun protection","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15390390/2022/5/18/da8aeda2-fdb9-46c3-a79d-18a49d0d1fa91652875036010-VI-JOHN-Women-Set-of-5-Saffron-Fairness-Cream-Advanced-77216-1.jpg"
4,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme--peach-milk-soft-creme-150g/7552207/buy,lakme,peach milk soft creme 150g,₹ 192,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7552207/2023/12/21/8be58196-5169-42eb-a6cd-cacfe57acf041703158631985-Lakme--Peach-Milk-Soft-Creme-100-g-7331703158631439-1.jpg"
5,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-coconut-whitening--brightening-sustainable-cream-50g/1661415/buy,biotique,bio coconut whitening & brightening sustainable cream 50g,₹ 117,all,"uneven skin tone,dull skin,hydration","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661415/2023/2/15/18f38ef6-52ba-4235-828e-a89ebfefc4c61676460998368-Biotique-Coconut-Brightening-Instant-Glow-Cream---50-g-44716-2.jpg"
6,face-moisturisers,https://www.myntra.com/face-moisturisers/lakme/lakme-absolute-women-perfect-radiance-skin-lightening-day-creme-50-g/1254169/buy,lakme,absolute women perfect radiance skin lightening day creme 50 g,₹ 239,normal,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1254169/2023/10/6/8f50385f-bebc-4884-8ffa-c3199886e6511696595756096-Lakme-Absolute-Perfect-Radiance-Skin-Brightening-Light-Creme-1.jpg"
7,face-moisturisers,https://www.myntra.com/face-moisturisers/laneige/laneige-radian-c-cream-30-ml/15078068/buy,laneige,radian-c cream 30 ml,₹ 2014,all,"dark spots,uneven skin tone,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15078068/2024/2/29/e0b4645f-23fe-4390-b77f-e505109486881709207432974LANEIGERadian-CCream30ml1.jpg"
8,face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-lotion-120ml/1661472/buy,biotique,bio morning nectar flawless sustainable skin lotion 120ml,₹ 117,all,"uneven skin tone,hydration,dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661472/2023/12/11/eff0bd09-ae05-4d8f-9e39-7462eb45423e1702294086327BiotiqueBioMorningNectarFlawlessSustainableSkinLotion120ml1.jpg"
9,face-moisturisers,https://www.myntra.com/face-moisturisers/nivea/nivea-soft-light-moisturizer-with-vitamin-e-100ml/2273976/buy,nivea,soft light moisturizer with vitamin e 100ml,₹ 166,all,"general care,dryness,softening,smoothening","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2273976/2023/10/31/5f3a8b59-7f98-404a-955f-d92c5d04bf9e1698748110905-Nivea-Soft-Light-Moisturizer-with-Vitamin-E-100ml-4571698748-1.jpg"
